_id,Tema,Fichas_Dataset,XLS,SHP,KML,CSV,RSS,JSON,XML,ODS,RDF,GTFS,TSV,URL_ficha
336,Sector público,Salidas principales. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_gral_pto_salidas
337,Sociedad y bienestar,Transporte público. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_gral_pto_transp
338,Sector público,Término Municipal de Pamplona. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_iden_pol_municipio
339,Medio ambiente,Setos. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_lin_seto
340,Urbanismo e infraestructuras,Tuberías. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_lin_tuberia
341,Medio ambiente,Césped. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pol_cesped
342,Medio ambiente,Macizos de Flor. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pol_macizflor
343,Medio ambiente,Masas Arbolalas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pol_masaarbol
344,Medio ambiente,Masas Arbustivas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pol_masaarbus
345,Medio ambiente,Praderas naturales. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pol_pradera
346,Medio ambiente,Tapizantes. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pol_tapiz
347,Medio ambiente,Terrizos. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pol_terrizo
348,Medio ambiente,Zonas Cultivables. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pol_zonacult
349,Urbanismo e infraestructuras,Alcachofas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_alcachofa
350,Medio ambiente,Árboles. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_arbol
351,Medio ambiente,Arbustos. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_arbusto
352,Urbanismo e infraestructuras,Arquetas de desagüe. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_arquetadesa
353,Urbanismo e infraestructuras,Aspersores. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_aspersor
354,Urbanismo e infraestructuras,Bocas de riego. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_bocariego
355,Urbanismo e infraestructuras,Bombas de achique. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_bombaachiqe
356,Urbanismo e infraestructuras,Boyas de llenado. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_boyallenado
357,Urbanismo e infraestructuras,Cables antena de programadores . Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_cableantena
358,Urbanismo e infraestructuras,Compuertas de vaciado. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_compuertav
359,Urbanismo e infraestructuras,Contadores. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_contador
360,Urbanismo e infraestructuras,Desagües de tubería . Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_desague
361,Urbanismo e infraestructuras,Difusores. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_difusor
362,Urbanismo e infraestructuras,Electroválvulas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_elecvalvula
363,Urbanismo e infraestructuras,Filtros. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_filtro
364,Urbanismo e infraestructuras,Hidrantes de tubería. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_hidrante
365,Urbanismo e infraestructuras,Llaves de paso de separación de circuitos . Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_llavepaso
366,Urbanismo e infraestructuras,Tajaderas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_tajadera
367,Urbanismo e infraestructuras,Ventosas de tubería. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_jard_pto_ventosa
368,Urbanismo e infraestructuras,Fuentes ornamentales. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_limp_pto_fuentes
369,Urbanismo e infraestructuras,Papeleras. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_limp_pto_papeleras
370,Urbanismo e infraestructuras,Rejillas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_limp_pto_rejillas
371,Sociedad y bienestar,Circuitos de gimnasia. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_mobi_pol_cirgimnasia
372,Sociedad y bienestar,Parques de juegos infantiles. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_mobi_pol_juegosinf
373,Sociedad y bienestar,Zonas de esparcimiento canino valladas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_mobi_pol_zecvallado
374,Sociedad y bienestar,Calistenia. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_mobi_pto_calistenia
375,Urbanismo e infraestructuras,Fuentes de agua públicas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_mobi_pto_fuentepub
376,Urbanismo e infraestructuras,Red ciclable. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_lin_redciclable
377,Sociedad y bienestar,Limitación de velocidad (km/h). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pol_limvel
378,Sociedad y bienestar,Perímetro zona restringida. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pol_zonaaccesorestr
379,Urbanismo e infraestructuras,Zonas peatonales. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pol_zonaspeatonales
380,Urbanismo e infraestructuras,Zonas verdes. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pol_zonasverdes
381,Sociedad y bienestar,Puntos de entrada y salida. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pto_accesorestr
382,Urbanismo e infraestructuras,Aparcamientos rotatorios cubiertos para bicicletas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pto_aparcabicir
383,Urbanismo e infraestructuras,Aparcabicis. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pto_aparcabicis
384,Urbanismo e infraestructuras,Aparcamientos vecinales para bicicletas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pto_aparcabiciv
385,Sociedad y bienestar,Bases de bicicleta eléctrica. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pto_bicielecbase
386,Sociedad y bienestar,Movilidad vertical. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_movi_pto_movivert
387,Sociedad y bienestar,Tejido Social - Iruñategi. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_paci_pto_recursos
388,Urbanismo e infraestructuras,Catálogo de edificios. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_proy_pol_edificios
389,Urbanismo e infraestructuras,Reservas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_lin_reservas
390,Urbanismo e infraestructuras,Señalización horizontal. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_lin_senhorizont
391,Sector público,Estacionamiento regulado. Sectores. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pol_esregsector
392,Urbanismo e infraestructuras,Estacionamiento regulado. Zonas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pol_esregzonas
393,Urbanismo e infraestructuras,Señalización Horizontal. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pol_senhorizont
394,Sociedad y bienestar,Aparcamientos para personas con discapacidad. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pto_aparcminus
395,Urbanismo e infraestructuras,Cámaras CCTV. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pto_camaracctv
396,Urbanismo e infraestructuras,Control de tráfico. Cinemómetros. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pto_cinemometro
397,Urbanismo e infraestructuras,Estacionamiento regulado. Expendedores. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pto_esregexp
398,Sector público,Oficina de Policía Municipal y depósito de grúa. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pto_polmungrua
399,Urbanismo e infraestructuras,"Control de tráfico, instalaciones semafóricas. Semáforos. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pto_semaforo
400,Urbanismo e infraestructuras,Soportes de señalización vertical. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_segu_pto_senvertsop
401,Sociedad y bienestar,"Ruta turística Camino de Santiago, Recorrido. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_lin_rutacamsant
402,Sociedad y bienestar,"Ruta turística Murallas, Recorrido. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_lin_rutamuralla
403,Sociedad y bienestar,"Ruta turística San Fermín, Recorrido. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_lin_rutasfermin
404,Sociedad y bienestar,"Ruta turística Pamplona-Iruña verde, Recorrido. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_lin_rutaverde
405,Sociedad y bienestar,Paradas para autobuses turísticos. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_busturi
406,Sociedad y bienestar,Hitos turísticos. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_hitoturismo
407,Sociedad y bienestar,Puntos de información turística. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_infoturismo
408,Sociedad y bienestar,"Ruta turística Camino de Santiago, Puntos de interés. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_rutacamsant
409,Sociedad y bienestar,"Ruta turística Murallas, Puntos de interés. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_rutamuralla
410,Sociedad y bienestar,"Ruta turística Patrimonio, Puntos de interés. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_rutapatrim
411,Sociedad y bienestar,"Ruta turística San Fermín, Puntos de interés. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_rutasfermin
412,Sociedad y bienestar,"Ruta turística Pamplona-Iruña verde, Puntos de interés. Ayuntamiento de Pamplona / Iruñeko Udala.",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_rutaverde
413,Sociedad y bienestar,Señalización turística. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_turi_pto_senal
414,Urbanismo e infraestructuras,PM. Alineaciones. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_alineaciones
415,Urbanismo e infraestructuras,PM. Tuberías de abastecimiento de agua. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_infragua
416,Urbanismo e infraestructuras,PM. Áreas de alumbrado público. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_infralumbr
417,Urbanismo e infraestructuras,PM. Tuberías de saneamiento. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_infrcoltub
418,Urbanismo e infraestructuras,PM. Líneas eléctricas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_infrelectr
419,Urbanismo e infraestructuras,PM. Tuberías de gas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_infrgas
420,Urbanismo e infraestructuras,PM. Líneas de telefonía. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_infrtelef
421,Medio ambiente,PM. Elementos naturales y jardines protegidos (Líneas). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_protjardin
422,Transporte,PM. Itinerarios ciclistas (Líneas). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_redciclista
423,Transporte,PM. Itinerarios peatonales (Líneas). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_redpeatonal
424,Transporte,PM. Red viaria básica (Recintos). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_redviaria
425,Hacienda,PM. Categorización de suelo no urbanizable (Líneas). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_usoglobal
426,Hacienda,PM. Suelos de valor cultural (Líneas). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_lin_usoporsnu
427,Hacienda,PM. Áreas de reparto. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_areareparto
428,Sector público,Delimitación de los barrios. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_barrios
429,Sector público,Delimitación de los barrios provisionales. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_barrios_prov
430,Hacienda,PM. Categorización de suelo no urbanizable (Recintos). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_catsnu
431,Hacienda,PM. Clasificacion del suelo no urbanizable. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_clasifica_snu
432,Hacienda,PM. Clasificacion del suelo urbano. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_clasifica_su
433,Hacienda,PM. Clasificacion del suelo urbanizable. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_clasifica_suble
434,Hacienda,PM. Sistemas generales de espacios libres. Dotaciones de rango general. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_dotgeneral
435,Hacienda,PM. Sistemas generales (Estructura general). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_estsgeneral
436,Hacienda,PM. Usos (Estructura general). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_estusos
437,Urbanismo e infraestructuras,PM. Cuencas de saneamiento. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_infrcolcue
438,Urbanismo e infraestructuras,PM. Depósitos de saneamiento. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_infrcoldep
439,Urbanismo e infraestructuras,PM. Estaciones eléctricas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_infrelectr
440,Urbanismo e infraestructuras,PM. Estaciones de gas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_infrgas
441,Urbanismo e infraestructuras,PM. Centrales de telefonía. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_infrtelef
442,Urbanismo e infraestructuras,PM.Ordenación comercial. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_ordcomercial
443,Sociedad y bienestar,PM. Zonas arqueológicas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_protarqueol
444,Urbanismo e infraestructuras,PM. Edificios protegidos Casco Viejo y Ensanches. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_protcviejo
445,Urbanismo e infraestructuras,PM. Edificios protegidos excepto Casco Viejo y Ensanches. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_protedif
446,Medio ambiente,PM. Elementos naturales y jardines protegidos (Recintos). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_protjardin
447,Transporte,PM. Itinerarios ciclistas (Recintos). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_redciclista
448,Transporte,PM. Itinerarios peatonales (Recintos). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_redpeatonal
449,Transporte,PM. Red viaria básica (Líneas). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_redviaria
450,Hacienda,PM. Unidades de actuación. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_unidadact
451,Hacienda,PM. Unidades básicas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_unidadbas
452,Hacienda,PM. Unidades integradas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_unidadint
453,Hacienda,PM. Usos globales en suelo urbano y urbanizable. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_usoglobal
454,Hacienda,PM. Suelos de valor paisajístico y ambiental. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_usoporsnu_amb
455,Hacienda,PM. Suelos de valor cultural (Recintos). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_usoporsnu_cult
456,Hacienda,PM. Suelos de valor explotación natural. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_usoporsnu_expl
457,Hacienda,PM. Suelos destinados a infraestructuras. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_usoporsnu_infr
458,Hacienda,PM. Usos pormenorizados en suelo urbano y urbanizable. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pol_usoporsu
459,Urbanismo e infraestructuras,PM. Depósitos de abastecimiento de agua. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pto_infragua
460,Urbanismo e infraestructuras,PM. Centros de mando de alumbrado. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pto_infralumbr
461,Urbanismo e infraestructuras,PM. Elementos protegidos Casco Viejo y Ensanches. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pto_protcviejo
462,Medio ambiente,PM. Elementos naturales y jardines protegidos (Puntos). Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_pto_protjardin
463,Hacienda,PM.Alturas. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_txt_alturas
464,Urbanismo e infraestructuras,PM. Diametros de tuberías de abastecimiento de agua. Ayuntamiento de Pamplona / Iruñeko Udala.,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spapamplona_urba_txt_infragua
465,Sector público,Mapa Local de Navarra. Comarcas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaadmloc_pol_mapalocalc-xml
466,Sector público,Mapa Local de Navarra. Subcomarcas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaadmloc_pol_mapalocals-xml
467,Hacienda,Bienes de carácter comunal,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaagricu_pol_biencomunal-xml
468,Ciencia y tecnología,Mapa índice de los municipios cubiertos en el mapa de clases agrológicas 1:25.000,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaagricu_pol_cagrol25mmi-xml
469,Ciencia y tecnología,Mapa de clases agrológicas. Clases (1:25.000),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaagricu_pol_clagrol25m-xml
470,Medio rural y pesca,Comarcas agrarias,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaagricu_pol_comagrarias-xml
