_id,Tema,Fichas_Dataset,XLS,SHP,KML,CSV,RSS,JSON,XML,ODS,RDF,GTFS,TSV,URL_ficha
39,Sector público,Cesantías abonadas,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/cesant-as-abonadas
40,Sector público,Consumo de energía eléctrica,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/consumo-de-energia-electrica
41,Sector público,Consumo de gas natural,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/consumo-de-gas-natural
42,Sector público,"Consumo de gasolinas, gasóleos y fuelóleos",,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/consumo-de-gasolinas-gasoleos-y-fueloleos
43,Sector público,Consumos energéticos,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/consumos-energeticos
44,Sector público,Contabilidad trimestral,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/contabilidad-trimestral
45,Salud,Contratación personal por covid-19,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/contrataci-n-personal-por-covid-19
46,Sector público,Contratos de trabajo,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/contratos-de-trabajo
47,Sector público,Cuentas Abiertas: Entidades,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/cuentas-abiertas-entidades
48,Sector público,Cuentas Abiertas: Movimientos,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/cuentas-abiertas-movimientos
49,Sector público,Cuentas Abiertas: Saldos,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/cuentas-abiertas-saldos
50,Sector público,Cuentas anuales,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/cuentas-anuales
51,Sector público,Cuentas anuales de NASERTIC,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/cuentas-anuales-de-nasertic
52,Sector público,Cuentas de las administraciones publicas,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/cuentas-de-las-administraciones-publicas
53,Sector público,Cuentas de protección social,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/cuentas-de-proteccion-social
54,Educación,Cursos de formación dirigida prioritariamente a personas en desempleo,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/cursos-de-formaci-n-dirigida-prioritariamente-a-personas-en-desempleo
